name,city,distinct,detail,address,detail_address,franchise,franchise_type,biz_code,위도,경도,rp_key
타래커피,서울특별시,강서구,공항대로,206,공항대로206,FALSE,,,37.51913405,126.9309299,
라토레,서울특별시,강서구,양천로,564,양천로564,FALSE,,,37.58679973,126.9815224,
카페로이발산,서울특별시,강서구,강서로56길,64,강서로56길64,FALSE,,,37.5734184,126.973296,
데이롱카페강서,서울특별시,강서구,양천로,711,양천로711,FALSE,,,37.5777631,126.9838114,
메가엠지씨커피염,서울특별시,강서구,양천로,698,양천로698,TRUE,메가,,37.58105823,126.9707686,
커피빈,서울특별시,강서구,강서로,162,강서로162,TRUE,커피빈,,37.56965523,126.9971928,
카페인러쉬강서점,서울특별시,강서구,화곡로13길,107,화곡로13길107,FALSE,,,37.58148197,126.9719006,
크랙로스터스,서울특별시,강서구,마곡서로,152,마곡서로152,FALSE,,,37.58140261,126.9804821,
카페화곡동,서울특별시,강서구,화곡로13길,26,화곡로13길26,FALSE,,,37.54906024,126.9100462,
오우야에스프레소바,서울특별시,강서구,마곡중앙로,161-22,마곡중앙로161-22,FALSE,,,37.54409383,127.0464619,
리프,서울특별시,강서구,마곡서로,133,마곡서로133,FALSE,,,37.58076951,126.9691951,
이디야커피화곡,서울특별시,강서구,곰달래로,135,곰달래로135,TRUE,이디야,,37.63577606,127.0260919,
오레,서울특별시,강서구,금낭화로,23,금낭화로23,FALSE,,,37.57421239,126.9787747,
텐퍼센트커피,서울특별시,강서구,마곡중앙4로,22,마곡중앙4로22,FALSE,,,37.59028796,126.9963315,
헤이더그린,서울특별시,강서구,대장로,58,대장로58,FALSE,,,37.58334887,126.9811836,
풍경,서울특별시,강서구,강서로5나길,131,강서로5나길131,FALSE,,,37.53876595,126.9465036,
마곡나루역,서울특별시,강서구,마곡중앙로,161-17,마곡중앙로161-17,FALSE,,,37.56935736,126.9884429,
블루트리,서울특별시,강서구,마곡중앙6로,65,마곡중앙6로65,FALSE,,,37.57968841,126.9695578,
우지커피,서울특별시,강서구,마곡중앙6로,42,마곡중앙6로42,FALSE,,,37.57268105,127.0191647,
달달해,서울특별시,강서구,곰달래로51길,23,곰달래로51길23,FALSE,,,37.494142,127.0089673,
방화동커피볶는집,서울특별시,강서구,금낭화로16길,28,금낭화로16길28,FALSE,,,37.57428439,127.0216555,
스티머커피,서울특별시,강서구,화곡로68길,149,화곡로68길149,FALSE,,,37.58271016,126.9890635,
음아오,서울특별시,강서구,방화대로49길,,방화대로49길,FALSE,,,37.48431947,126.9173375,
카페모들,서울특별시,강서구,곰달래로31길,24,곰달래로31길24,FALSE,,,37.57048319,126.9847185,
뮤레르카페,서울특별시,강서구,마곡동로,161,마곡동로161,FALSE,,,37.5723492,126.9970795,
